"number_of_packets","mean_pl","var_pl","mean_iartime","var_iartime","max_length","min_length","perc_qosd","perc_qosnull","perc_other","perc_sent","perc_rec","type_of_traffic"
2065,1116.87554479419,225573.174910374,0.00468187282848837,0.0016754805395142,1546,86,0.994188861985472,0.00581113801452784,0,0.157384987893462,0.842615012106538,"Instagram"
2410,1123.41825726141,226326.636943412,0.00316371231050228,0.00275561885190255,1374,86,0.994605809128631,0.0033195020746888,0.0020746887966805,0.192116182572614,0.807883817427386,"Instagram"
5182,1211.75048243921,162589.043114031,0.00192516250762401,0.00187452985887444,1374,86,0.997491316094172,0.0021227325357005,0.000385951370127364,0.130837514473176,0.869162485526824,"Instagram"
2174,1118.37902483901,224782.408505998,0.00435636176622181,0.00292620992069621,1374,86,0.992180312787489,0.0078196872125115,0,0.178932842686293,0.821067157313707,"Instagram"
1724,1149.93909512761,207323.426932669,0.00525683002901915,0.00336888145149896,1374,86,0.993619489559165,0.00638051044083527,0,0.17169373549884,0.82830626450116,"Instagram"
101,704.178217821782,317818.407920792,0.09278764204,0.249175566894976,1374,86,0.920792079207921,0.0693069306930693,0.0099009900990099,0.544554455445545,0.455445544554455,"Instagram"
2604,1166.4297235023,193532.817571802,0.00258608897118709,0.00117001525047482,1374,86,0.998463901689708,0.00153609831029186,0,0.153225806451613,0.846774193548387,"Instagram"
522,908.494252873563,322683.148719306,0.017521323731286,0.0191631762045276,1374,86,0.977011494252874,0.0229885057471264,0,0.39272030651341,0.60727969348659,"Instagram"
5882,1191.78714722883,177626.865415462,0.00162166287077028,0.000735052004541973,1374,86,0.995749744984699,0.00425025501530092,0,0.136008160489629,0.863991839510371,"Instagram"
2027,1181.91415885545,183117.893910978,0.00243248906071076,0.000527716363230808,1374,86,0.998026640355205,0.00197335964479526,0,0.146521953626048,0.853478046373952,"Instagram"
3247,1139.25007699415,214612.35580329,0.00295314596025878,0.00146281215373883,1374,86,0.985833076686172,0.0141669233138281,0,0.165691407453034,0.834308592546966,"Instagram"
1733,978.533179457588,307687.798696409,0.0056430299312933,0.000201509921351,1374,86,0.998268897864974,0.000577034045008655,0.00115406809001731,0.327755337564916,0.672244662435084,"Instagram"
2068,1109.37088974855,234987.310366504,0.00471486119013062,0.00041526341303211,1374,86,0.988878143133462,0.0106382978723404,0.000483558994197292,0.179400386847195,0.820599613152805,"Instagram"
895,1095.52849162011,242387.808751078,0.0107539055290828,0.00377700998822455,1374,86,0.976536312849162,0.023463687150838,0,0.188826815642458,0.811173184357542,"Instagram"
699,1119.72961373391,229821.269193404,0.0139805688338109,0.0213624109098786,1374,86,0.985693848354793,0.0143061516452074,0,0.19170243204578,0.80829756795422,"Instagram"
1860,1129,221493.575040344,0.0052400676562668,0.00939237126550173,1374,86,0.997311827956989,0.00268817204301075,0,0.195698924731183,0.804301075268817,"Instagram"
57,499.263157894737,272782.411654135,0.171974546821428,0.28658884577233,1374,86,0.807017543859649,0.192982456140351,0,0.684210526315789,0.315789473684211,"Instagram"
1424,1127.79915730337,221948.509177083,0.00677126891004921,0.0038935180850836,1374,86,0.990870786516854,0.00912921348314607,0,0.182584269662921,0.817415730337079,"Instagram"
69,586.855072463768,305164.302216539,0.145046679955882,0.325614134693896,1374,86,0.898550724637681,0.0869565217391304,0.0144927536231884,0.652173913043478,0.347826086956522,"Instagram"
1789,1129.55114589156,218343.989133194,0.00546541325559285,0.00180329033060296,1374,86,0.992174399105646,0.00670765790944662,0.00111794298490777,0.19284516489659,0.80715483510341,"Instagram"
2186,1159.68664226898,200094.983226524,0.00455900799405035,0.00802644422764435,1374,86,0.9967978042086,0.00320219579139982,0,0.175205855443733,0.824794144556267,"Instagram"
2048,1131.529296875,220789.617118802,0.00471924145627747,0.00561585650088399,1374,86,0.9970703125,0.0029296875,0,0.21240234375,0.78759765625,"Instagram"
302,853.420529801325,333101.839178456,0.0327814749368771,0.0365110956827778,1374,86,0.913907284768212,0.0860927152317881,0,0.433774834437086,0.566225165562914,"Instagram"
1961,1085.35747067823,248309.621639314,0.00459686017295918,0.00299753518162985,1374,86,0.985721570627231,0.014278429372769,0,0.219785823559408,0.780214176440592,"Instagram"
3786,1108.33359746434,234623.364773158,0.00248648905099076,0.000740392638921751,1374,86,0.997358689910195,0.00211304807184363,0.000528262017960909,0.204173269941891,0.795826730058109,"Instagram"
738,1136.21273712737,209376.938399282,0.0129769622944369,0.081281718941076,1374,86,0.995934959349594,0.0040650406504065,0,0.215447154471545,0.784552845528455,"Instagram"
414,1105.49033816425,226900.197242985,0.0234602043414043,0.134575383551287,1374,86,0.98792270531401,0.0120772946859903,0,0.173913043478261,0.826086956521739,"Instagram"
2281,1187.70232354231,178037.957402494,0.00266368842807017,0.000811400174906937,1374,86,0.995177553704516,0.00394563787812363,0.000876808417360807,0.142919772029811,0.857080227970189,"Instagram"
2088,1125.22892720307,223663.720446956,0.00433176476760901,0.00200790276681271,1374,86,0.996168582375479,0.00335249042145594,0.000478927203065134,0.206896551724138,0.793103448275862,"Instagram"
2206,1179.9106980961,186780.638280057,0.00306955370294785,0.000831470473591779,1374,86,0.996826835902085,0.00317316409791478,0,0.165911151405258,0.834088848594742,"Instagram"
906,1076.35430463576,250697.099743881,0.0089960189270718,0.0125413844068325,1374,86,0.99448123620309,0.00551876379690949,0,0.209713024282561,0.790286975717439,"Instagram"
2217,1126.63554352729,223592.696533921,0.00436538294990976,0.000689095981836142,1374,86,0.99233198015336,0.0076680198466396,0,0.220568335588633,0.779431664411367,"Instagram"
1763,1070.48837209302,258364.134229074,0.00562860946821794,0.00417227673711807,1374,86,0.990924560408395,0.00907543959160522,0,0.256381168462847,0.743618831537153,"Instagram"
1499,1102.27751834556,237996.953639765,0.00355565616755671,0.00163581403209441,1374,86,0.995330220146765,0.00400266844563042,0.00066711140760507,0.216144096064043,0.783855903935957,"Instagram"
26,176.115384615385,2554.34615384615,0.386713834919999,1.19429913936326,235,86,0.769230769230769,0.192307692307692,0.0384615384615385,0.769230769230769,0.230769230769231,"Instagram"
0,0,0,0,0,0,0,0,0,0,0,0,"Instagram"
378,918.666666666667,320171.24668435,0.0208453748965516,0.0219614440500808,1546,86,0.984126984126984,0.0158730158730159,0,0.317460317460317,0.682539682539683,"Instagram"
1066,1135.96904315197,216318.435660492,0.00708303870328639,0.00635380431818469,1374,86,0.99624765478424,0.00281425891181989,0.000938086303939962,0.188555347091932,0.811444652908068,"Instagram"
3147,1067.16841436289,247734.072708324,0.00289722953273998,0.000334422972119414,1374,86,0.997775659358119,0.00127105179536066,0.000953288846520496,0.223705115983476,0.776294884016524,"Instagram"
4810,1151.6158004158,211242.65252634,0.00197866005198586,0.000504730152269716,1546,86,0.999376299376299,0.000623700623700624,0,0.181912681912682,0.818087318087318,"Instagram"
3001,1207.08530489837,166863.551387315,0.00234656636366666,0.0019608793423502,1374,86,0.997334221926025,0.00199933355548151,0.000666444518493835,0.136954348550483,0.863045651449517,"Instagram"
4581,1208.43527614058,166877.98429244,0.00199095356899564,0.000126072957098646,1374,86,0.998690242305174,0.00130975769482646,0,0.129884304736957,0.870115695263043,"Instagram"
8324,1215.15953868333,159005.55089903,0.00102517995362249,3.9111029276017e-05,2300,138,0.99963959634791,0,0.000360403652090341,0.122897645362806,0.877102354637194,"Instagram"
6744,1226.46752669039,150405.847677346,0.00148257474150972,6.58318859903188e-05,1374,169,0.99985172004745,0,0.000148279952550415,0.122775800711744,0.877224199288256,"Instagram"
1945,1209.72442159383,164819.945622415,0.00509368972685187,0.01455076271301,1374,86,0.994344473007712,0.0051413881748072,0.00051413881748072,0.127506426735219,0.872493573264781,"Instagram"
1828,1049.26258205689,278229.425265798,0.00513106232950193,0.000978078981246221,1546,86,0.992888402625821,0.00711159737417943,0,0.24398249452954,0.75601750547046,"Instagram"
2052,1018.01656920078,283777.536536639,0.00483889222915652,0.000846237562979667,1374,86,0.983918128654971,0.0160818713450292,0,0.29775828460039,0.70224171539961,"Instagram"
2692,1046.25705794948,266720.718735005,0.00371451616387959,0.000453379651394338,1374,86,0.99925705794948,0.000742942050520059,0,0.283803863298663,0.716196136701337,"Instagram"
808,1016.13613861386,283987.867440833,0.0121076206121437,0.00710298652800704,1374,86,0.987623762376238,0.0123762376237624,0,0.242574257425743,0.757425742574257,"Instagram"
2304,1198.28645833333,168494.472834346,0.00377705458271819,0.00416738130935484,1374,86,0.996527777777778,0.00303819444444444,0.000434027777777778,0.149739583333333,0.850260416666667,"Instagram"
1142,903.674255691769,318739.732535598,0.00768242093251531,0.00246180828449504,1546,86,0.985989492119089,0.0122591943957968,0.00175131348511384,0.300350262697023,0.699649737302977,"Instagram"
422,674.900473933649,319929.553016402,0.0182303032090263,0.0165224695875422,1394,86,0.990521327014218,0.00947867298578199,0,0.459715639810427,0.540284360189573,"Instagram"
2650,851.930943396226,350941.62112595,0.00359997444582864,0.00100719629545074,1614,86,0.981509433962264,0.0184905660377358,0,0.381509433962264,0.618490566037736,"Instagram"
4098,870.00878477306,342644.393381437,0.00243815094190871,0.000533790506969866,1466,86,0.999023914104441,0.000488042947779405,0.000488042947779405,0.419960956564178,0.580039043435822,"Instagram"
5508,1071.33986928105,269216.843610806,0.0016897762682041,0.000259546182320706,1394,86,0.988198983297022,0.0118010167029775,0,0.241830065359477,0.758169934640523,"Instagram"
4700,1205.16680851064,166551.406942355,0.00204760256203447,0.000800389544601529,1394,86,0.996382978723404,0.00361702127659574,0,0.123191489361702,0.876808510638298,"Instagram"
7852,1228.80832908813,147799.585343941,0.00127140920659789,0.000503659211383492,1374,86,0.997580234335201,0.0021650534895568,0.000254712175241977,0.107870606214977,0.892129393785023,"Instagram"
3614,1226.4750968456,146813.998687716,0.00223708878162189,0.0019197865829045,1374,86,0.998616491422247,0.00110680686220255,0.000276701715550636,0.106806862202546,0.893193137797454,"Instagram"
2545,1071.50844793713,246672.834146372,0.00377258535102203,0.000786587780540987,1374,86,0.992534381139489,0.00746561886051081,0,0.20196463654224,0.79803536345776,"Instagram"
404,976.420792079208,300431.579318478,0.0233735098337469,0.0146039501976497,1374,86,0.977722772277228,0.0222772277227723,0,0.282178217821782,0.717821782178218,"Instagram"
